ins_code,isin,cisin,l18,l30
27668158733246204,IRO7PRMP0001,IRO7PRMP0003,سپرمی,پرمیت‌
31379272181300633,IRT3SPTF0001,IRT3SPTF0000,سپنتارود,ص.س.د.ثابت ماه آفرید سپینود-د
471543293603227,IRT3VC140001,IRT3VC140004,سپهر,ص.ج. سپهریکم 60% تادیه
45519261544951819,IRO1SPID0001,IRO1SPID0008,سپید,سپید ماکیان
29590002988360984,IRO3SSYZ0001,IRO3SSYZ0007,سپیدار,سپیدار سیستم آسیا
40756198483612224,IRR3SSYZ0101,IRR3SSYZ0109,سپیدارح,ح . سپیدار سیستم آسیا
2161110547458064,IRT3SEDF0001,IRT3SEDF0001,سپیدما,صندوق س. سپید دماوند-د
3927545069816217,IRT3SPNF0001,IRT3SPNF0006,سپینود,صندوق س.سهامی سپینود-س
15930821245168534,IRO7KACP0001,IRO7KACP0009,سکارون,سیمان کارون
65321970913593427,IRO1SKOR0001,IRO1SKOR0009,سکرد,سیمان کردستان
15472396110662150,IRO1SKER0001,IRO1SKER0001,سکرما,سیمان‌ کرمان‌
7431626988889223,IRBKSEKE0001,IRBKSEKE0004,سکه مرکزی,سلف تمام سکه 001 مرکزی
10171945867136336,IRO1SITA0001,IRO1SITA0007,سیتا,سرمایه گذاری سیمان تامین
38731447675523625,IRR1SITA0101,IRR1SITA0109,سیتاح,ح.سرمایه گذاری سیمان تامین
37281199178613855,IRO1CIDC0001,IRO1CIDC0001,سیدکو,سرمایه گذاری توسعه صنایع سیمان
47749661205825616,IRO1SYSM0001,IRO1SYSM0004,سیستم,همکاران سیستم
5286237676293152,IRO1SSCO0001,IRO1SSCO0008,سیسکو,فولاد سیرجان ایرانیان
14617104402836487,IRO1SEIL0001,IRO1SEIL0001,سیلام,سیمان‌ ایلام‌
46918165794045813,IRT1SIMA0001,IRT1SIMA0003,سیمانا,صندوق س صنایع دایا2-بخشی
62069100905581368,IRT1SIMF0001,IRT1SIMF0008,سیمانو,صندوق س صنایع مفید3- بخشی
